date,open,high,low,close,volume,ETF_Turnover
2024-11-19,2679.551,2683.368,2637.847,2671.189,6700301800,1.88
2024-11-20,2667.449,2686.375,2657.584,2676.207,4501762200,1.75
2024-11-21,2674.434,2686.315,2666.568,2680.798,3720238400,1.51
2024-11-22,2679.651,2683.745,2601.546,2601.557,4855176400,2.68
2024-11-25,2610.961,2620.03,2568.955,2582.054,4559353000,2.7
2024-11-26,2576.809,2607.125,2573.966,2592.737,3993165300,1.72
2024-11-27,2588.889,2626.326,2583.467,2625.761,4107905400,2.26
2024-11-28,2625.507,2630.803,2598.748,2610.121,3430873900,1.87
2024-11-29,2612.234,2660.393,2610.715,2624.956,4300156100,2.38
2024-12-02,2621.144,2643.867,2613.616,2639.041,4460883600,1.63
2024-12-03,2638.806,2658.152,2626.208,2652.898,4737315600,1.64
2024-12-04,2651.785,2660.802,2638.113,2648.755,4808817100,1.89
2024-12-05,2637.627,2647.984,2629.631,2635.562,3367652100,0.85
2024-12-06,2636.607,2682.689,2636.607,2665.428,4389449100,1.98
2024-12-09,2666.289,2686.515,2658.431,2667.592,4592635300,1.37
2024-12-10,2741.751,2747.073,2684.717,2689.329,5944389900,2.65
2024-12-11,2684.591,2696.007,2671.522,2676.552,4080238700,1.38
2024-12-12,2673.944,2704.029,2667.637,2702.268,4127383100,1.78
2024-12-13,2684.293,2684.411,2636.973,2638.027,6159770500,3.51
2024-12-16,2637.74,2647.698,2635.247,2641.56,5409812000,1.71
2024-12-17,2637.35,2672.955,2637.35,2652.346,4427923400,2.22
2024-12-18,2662.032,2681.121,2661.898,2671.346,4425905600,1.72
2024-12-19,2652.195,2672.581,2642.683,2661.722,4021414000,1.15
2024-12-20,2654.849,2670.318,2644.836,2648.461,4249351000,1.94
2024-12-23,2648.919,2688.886,2648.919,2671.203,5662909900,2.95
2024-12-24,2671.909,2704.578,2666.341,2702.282,4646919800,1.75
2024-12-25,2706.567,2726.14,2700.681,2710.165,5101038100,2.1
2024-12-26,2709.592,2709.592,2692.868,2702.595,4177073600,1.29
2024-12-27,2701.209,2713.841,2686.501,2701.703,4489485500,1.25
2024-12-30,2700.225,2724.726,2700.225,2718.749,4499476300,1.59
2024-12-31,2715.207,2725.788,2684.771,2684.771,5074555400,3.19
2025-01-02,2682.416,2684.247,2595.399,2610.342,6116098400,2.53
2025-01-03,2615.351,2620.646,2579.439,2587.132,5080485800,1.91
2025-01-06,2589.335,2591.894,2555.928,2579.963,4448640200,2.19
2025-01-07,2576.677,2595.663,2566.679,2593.965,3921859800,1.34
2025-01-08,2587.527,2611.153,2565.599,2597.446,4625746300,2.49
2025-01-09,2595.692,2597.056,2574.603,2579.575,3435650600,1.58
2025-01-10,2585.2,2593.087,2560.25,2560.25,3616687800,1.9
2025-01-13,2545.379,2561.241,2533.313,2553.359,3969949500,1.48
2025-01-14,2556.422,2606.089,2549.169,2598.807,4268818400,2.43
2025-01-15,2592.316,2606.066,2587.464,2591.503,4121351100,1.33
2025-01-16,2601.123,2614.601,2572.109,2580.118,3898711000,1.83
2025-01-17,2572.966,2595.164,2561.968,2582.486,3425023200,1.26
2025-01-20,2595.325,2609.652,2585.127,2589.069,3626121600,1.33
2025-01-21,2598.831,2599.887,2579.668,2584.889,3436658700,0.97
2025-01-22,2580.105,2580.186,2544.26,2551.354,3984615800,2.34
2025-01-23,2571.828,2605.865,2564.751,2567.477,5132399500,2.71
2025-01-24,2562.866,2594.581,2559.492,2579.096,3766363300,1.99
2025-01-27,2582.839,2597.351,2582.087,2583.652,3919676400,2.37
2025-02-05,2604.139,2604.316,2556.483,2561.942,4353546500,2.31
2025-02-06,2559.827,2585.289,2554.475,2580.426,3989533600,1.82
2025-02-07,2578.683,2624.675,2570.181,2608.089,5833741100,2.75
2025-02-10,2612.061,2628.391,2606.295,2621.04,5606320700,1.23
2025-02-11,2625.183,2626.175,2607.244,2614.322,5171276900,1.58
2025-02-12,2611.962,2641.729,2607.268,2640.046,4430140900,1.47
2025-02-13,2638.981,2663.785,2635.449,2641.131,4634408100,1.89
2025-02-14,2638.208,2662.292,2633.707,2660.855,5637142600,1.91
2025-02-17,2665.545,2672.03,2647.452,2664.475,6941059400,2.19
2025-02-18,2659.088,2679.823,2644.295,2651.112,6509496300,2.13
2025-02-19,2648.356,2673.519,2643.956,2663.603,5621433000,1.37
2025-02-20,2659.126,2659.6,2641.91,2648.167,4809942900,1.17
2025-02-21,2657.801,2686.334,2649.201,2682.239,6848862300,1.96
2025-02-24,2674.691,2692.808,2661.321,2674.117,6852148100,2.18
2025-02-25,2654.134,2664.157,2636.903,2643.233,5332716800,1.55
2025-02-26,2649.901,2667.024,2645.991,2666.656,5192303900,1.4
2025-02-27,2664.319,2681.507,2655.001,2679.077,5367300400,1.48
2025-02-28,2670.426,2691.294,2638.957,2638.957,5633522900,2.04
2025-03-03,2645.011,2655.311,2619.194,2628.524,4969281100,1.57
2025-03-04,2617.92,2629.667,2609.337,2621.217,4185128000,1.09
2025-03-05,2623.717,2644.754,2619.79,2641.446,4839750000,1.49
2025-03-06,2655.538,2689.454,2655.538,2683.949,5771422600,2.44
2025-03-07,2677.574,2695.377,2675.418,2682.016,4431739300,1.43
2025-03-10,2682.883,2683.605,2653.027,2668.806,5083862300,2.61
2025-03-11,2644.819,2682.223,2644.082,2682.223,4219446100,1.26
2025-03-12,2684.72,2686.782,2666.488,2669.015,4344953300,1.12
2025-03-13,2670.993,2684.125,2655.333,2664.617,4249506800,1.17
2025-03-14,2674.495,2748.103,2674.026,2740.507,6548515200,3.17
2025-03-17,2755.49,2755.944,2734.505,2737.923,4438073900,1.33
2025-03-18,2749.322,2751.726,2737.008,2739.745,3861119800,0.93
2025-03-19,2737.313,2757.618,2733.566,2746.963,4632842300,1.27
2025-03-20,2748.294,2749.221,2713.467,2718.186,3971076500,1.58
2025-03-21,2712.738,2722.49,2669.79,2675.358,4681078200,2.07
